ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
03N;UTK;Utirik Airport;11.222;169.852005;4;OC;MH;MH-UTI;Utirik Island
07FA;OCA;Ocean Reef Club Airport;25.325399398804;-80.274803161621;8;NA;US;US-FL;Key Largo
0AK;PQS;Pilot Station Airport;61.934601;-162.899994;305;NA;US;US-AK;Pilot Station
0CO2;CSE;Crested Butte Airpark;38.851918;-106.928341;8980;NA;US;US-CO;Crested Butte
0TE7;JCY;LBJ Ranch Airport;30.251800537100003;-98.62249755859999;1515;NA;US;US-TX;Johnson City
13Z;WLR;Loring Seaplane Base;55.6012992859;-131.636993408;0;NA;US;US-AK;Loring
16A;NUP;Nunapitchuk Airport;60.905591;-162.440454;12;NA;US;US-AK;Nunapitchuk
16K;PTC;Port Alice Seaplane Base;55.803;-133.597;0;NA;US;US-AK;Port Alice
19AK;ICY;Icy Bay Airport;59.966269;-141.660118;50;NA;US;US-AK;Icy Bay
19P;PPV;Port Protection Seaplane Base;56.328800201416;-133.61000061035;0;NA;US;US-AK;Port Protection
1KC;KKK;Kalakaket Creek AS Airport;64.4166256967;-156.820392609;1598;NA;US;US-AK;Kalakaket Creek
1O6;MHS;Dunsmuir Muni-Mott Airport;41.263199;-122.272003;3258;NA;US;US-CA;Dunsmuir
1XA2;NIR;Chase Field Industrial Airport;28.362444;-97.661917;190;NA;US;US-TX;Beeville
1Z1;GCT;Grand Canyon Bar Ten Airstrip;36.258614;-113.231159;4100;NA;US;US-AZ;Littlefield
1Z9;ELW;Ellamar Seaplane Base;60.893818;-146.704038;0;NA;US;US-AK;Ellamar
2AK;LVD;Lime Village Airport;61.3591003418;-155.440002441;552;NA;US;US-AK;Lime Village
2AK6;HGZ;Hog River Airport;66.2161026;-155.6690063;534;NA;US;US-AK;Hogatza
2IG4;OTN;Ed-Air Airport;38.851782;-87.49987;426;NA;US;US-IN;Oaktown
2K5;TLF;Telida Airport;63.393901824951;-153.26899719238;650;NA;US;US-AK;Telida
2TE0;BZT;Eagle Air Park;28.982200622559;-95.579696655273;15;NA;US;US-TX;Brazoria
2Z1;HBH;Entrance Island Seaplane Base;57.412201;-133.43848;0;NA;US;US-AK;Entrance Island
2Z6;FAK;False Island Seaplane Base;57.5321998596;-135.212997437;;NA;US;US-AK;False Island
38WA;BYW;Blakely Island Airport;48.578998565700005;-122.825996399;66;NA;US;US-WA;Blakely Island
3AK5;DRF;Drift River Airport;60.588901519800004;-152.162002563;30;NA;US;US-AK;Kenai
3IS8;BDF;Rinkenberger Restricted Landing Area;41.230899810800004;-89.61569976810001;808;NA;US;US-IL;Bradford
3VS;VRS;Roy Otten Memorial Airfield;38.427799224854;-92.875198364258;1030;NA;US;US-MO;Versailles
3Z8;GDH;Golden Horn Lodge Seaplane Base;59.7470016479;-158.875;91;NA;US;US-AK;Golden Horn Lodge
4A2;ATT;Atmautluak Airport;60.866699;-162.272996;17;NA;US;US-AK;Atmautluak
